ID,Name,Address
156891,Чудо Пекарня Шаргунь,"город Москва, Севастопольский проспект, дом 15, корпус 3"
22167,Якитория,"город Москва, Садовая-Спасская улица, дом 21/1"
29589,ГБОУ СОШ 944,"город Москва, улица Мусы Джалиля, дом 6, корпус 3"
316276,Cofix,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Академический, Профсоюзная улица, дом 19"
29167,ГБОУ Коллежд связи №54,"город Москва, Рабочая улица, дом 12, строение 1"
299178,The Бык,"город Москва, Страстной бульвар, дом 8А"
276681,Чайхана от души,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Обручевский, улица Обручева, дом 16, корпус 1"
358075,Кофейня «Чашка»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Мещанский, Олимпийский проспект, дом 16, строение 5"
28813,Столовая при ШК. 1310 (796),"город Москва, Перовская улица, дом 44Б"
337832,Шаурма,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Коптево, Новопетровская улица, дом 16"
27852,Столовая,"город Москва, город Зеленоград, проезд № 4922, дом 4, строение 5"
152340,Мясо и паста,"город Москва, Лесная улица, дом 20, строение 2"
197020,KFC,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Южнопортовый, 7-я Кожуховская улица, дом 9"
367013,Poke man,"город Москва, проспект Андропова, дом 8"
360134,VIVA LA COFFEE,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Выхино-Жулебино, Ферганская улица, дом 17"
255504,Кофейня кофе выпечка ЗНАКОМЫЕ ЛИЦА,"город Москва, Дмитровское шоссе, дом 107А, корпус 1"
125633,Раковая на Усачева,"город Москва, Усачёва улица, дом 22"
256442,Суши,"город Москва, поселение Сосенское, посёлок Коммунарка, улица Александры Монаховой, дом 88, корпус 1"
303218,Мята Lounge,"город Москва, Новоалексеевская улица, дом 22, корпус 1"
274953,Столовая ГБОУ Школа №827,"город Москва, улица Героев Панфиловцев, дом 45, корпус 3"
353288,ТandW,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тверской, Сущёвская улица, дом 27, строение 1"
339724,Кафетерий,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Даниловский, улица Мастеркова, дом 6"
